书名,个人评分,打分日期,我的短评,出版日期,作者,条目链接
"亲爱的L","5","2024/09/11","才发现居然有条目！家祭无忘告乃翁级别的绝产神作。","","Jae-五宝","https://book.douban.com/subject/30342230/"
"疼痛部","5","2024/09/04","乌格雷西奇用我最熟悉的学科的方式讲述了我近期最关注的地区的流亡史：断裂的国家和语言，虚构的纠缠的网。“去他的语言吧！我们只要说话！”","2023/5","[荷] 杜布拉夫卡·乌格雷西奇","https://book.douban.com/subject/36206462/"
"永远讲不完的童话","5","2024/09/02","小时候很爱看，而且我记得插画也很不错","2010年1月","(德)米切尔·恩德","https://book.douban.com/subject/4274281/"
"林汉达中国历史故事集","","2024/09/02","小时候反复读过","2009/2","林汉达","https://book.douban.com/subject/3623383/"
"清十二帝疑案","","2024/09/02","","2005/8","中央电视台《百家讲坛》栏目组 编","https://book.douban.com/subject/1426137/"
"权威探秘百科加强版·历史探秘","5","2024/09/02","小时候特别喜欢，因为图解很详细，记得反复读了好多遍。","2011/1","(英)乔伊斯·泰德斯利//菲利普·狄克逊|译者:李昊//冯超","https://book.douban.com/subject/5906609/"
"红瓦黑瓦","4","2024/09/02","","2005/3/1","曹文轩","https://book.douban.com/subject/1310025/"
"细米","4","2024/09/02","","2009/6","曹文轩","https://book.douban.com/subject/1505377/"
"马戏团","","2024/09/02","","2010年8月","曹文轩","https://book.douban.com/subject/4747036/"
"我的妈妈是精灵","4","2024/09/02","忘记是小学还是初中的必读书目","2011/5/1","陈丹燕","https://book.douban.com/subject/6720517/"
"置身事内","","2024/09/01","可能我真的天生就不适合学经济学吧，所有涉及这个领域的我都看一眼秒睡。","2021/8","兰小欢","https://book.douban.com/subject/35546622/"
"亚细亚的孤儿","","2024/09/01","平铺直叙、文字简练以至于如纲要。虽然借太明的经历串联起一段台湾历史，但又太浅尝辄止太过直白，难以引起太多触动，更多是那样的历史本身激起情感回荡。相比之下还是同名歌曲更隽永。","1986","吴浊流","https://book.douban.com/subject/3687743/"
"恶之花 巴黎的忧郁","","2024/09/01","","2020/7","[法] 夏尔·波德莱尔","https://book.douban.com/subject/34911998/"
"青春之歌","2","2024/08/27","呵呵","1958/1","杨沫","https://book.douban.com/subject/22676697/"
"永远的布谷鸟-最佳儿童文学读本（小学卷）","","2024/08/27","小时候看的","2008/6","方卫平 编","https://book.douban.com/subject/3119764/"
"为我唱首歌吧","","2024/08/27","","2008/6","方卫平 编","https://book.douban.com/subject/3119765/"
"荆棘鸟","","2024/08/27","小时候看的，印象深刻","1990/5","[澳]考琳.麦卡洛","https://book.douban.com/subject/1462160/"
"德龄公主","2","2024/08/27","小时候看的，感觉很假……","2004/05","徐小斌","https://book.douban.com/subject/1082108/"
"简·爱","","2024/08/27","","1980/7","[英] 夏洛蒂·勃朗特","https://book.douban.com/subject/1462161/"
"再见绘梨","4","2024/08/18","感谢赠书🥺","2023/1/1","[日] 藤本树","https://book.douban.com/subject/36122667/"
"蓦然回首","5","2024/08/10","","2022/8","[日本] 藤本树","https://book.douban.com/subject/35801543/"
"喧哗与骚动","5","2024/08/08","班，明亮的形体在他身边平稳地滑过，他嗅到树的气息。班吉明我晚年所生的被作为人质带到埃及去的儿子。忍冬是最残忍的味道我们必须保持清醒看着邪恶暂时得逞因此当我读到杰生的部分时我开始感到无法忍受地愤怒。羔羊的鲜血，他们在苦熬。","2020/4","[美] 威廉·福克纳","https://book.douban.com/subject/34983258/"
"R语言实战（第3版）","","2024/08/01","","2023/5/24","[美]罗伯特 · I. 卡巴科弗","https://book.douban.com/subject/36420926/"
"《少年巴比伦》（珍藏纪念版）","2","2024/07/20","简单模仿王小波，整体风格很网文。","2022/7","路内","https://book.douban.com/subject/36054044/"
"地图（人文版）","","2024/06/21","","2014/8","(波兰)亚历山德拉·米热林斯卡","https://book.douban.com/subject/25960141/"
"人山","4","2024/06/21","","2017/1/1","[法] 塞弗琳•戈捷 著","https://book.douban.com/subject/26980952/"
"当世界年纪还小的时候","5","2024/06/18","有些片段小时候读过，昨天缩在敦煌书局二楼的角落里把全书读完，感觉很喜欢（插画也很喜欢）。不知道为什么，一直觉得很多（不仅仅是这本书）看似欢乐无厘头的儿童短篇都有着淡淡的忧伤气息。","2006/10","[德] 于尔克·舒比格 著","https://book.douban.com/subject/1907739/"
"敦煌壁画漫谈","","2024/06/17","文章合集，处处是时代印记……读于敦煌书局。","2022/6","常书鸿","https://book.douban.com/subject/35916110/"
"七个贪吃小宝贝","","2024/06/17","","2016/5","[美]玛丽·安·霍伯曼","https://book.douban.com/subject/26781418/"
"macOS效率手册","1","2024/06/07","这么水居然也能出书…","2019/8/1","少数派","https://book.douban.com/subject/34454933/"
"The Secret Garden","","2024/05/25","","2002/2/26","Frances Hodgson Burnett","https://book.douban.com/subject/2966451/"
"秘密花园","","2024/05/25","在the longing中读到英文版第一段时，一下想起来小时候读过。印象很深刻的一本书！","2014/1","(美)弗朗西丝·霍奇森·伯内特 著","https://book.douban.com/subject/25880690/"
"纳博科夫诗集","","2024/03/25","下次再也不读这些中译外文诗集","2022/12","弗拉基米尔·纳博科夫","https://book.douban.com/subject/36150273/"
"苦妓回忆录","4","2024/03/25","","2015/3/1","加西亚·马尔克斯","https://book.douban.com/subject/26276279/"
"王小波全集 第六卷","5","2024/03/08","","2012/1","王小波","https://book.douban.com/subject/10199131/"
"穆旦诗集手稿本","5","2024/03/03","1937-1948","2022/9","穆旦","https://book.douban.com/subject/36126713/"
"我身在历史何处","4","2024/03/02","“就这样，一场巴尔干的狄俄尼索斯式的狂欢在我们的视线中渐渐远去了。”","2017/11","[塞尔维亚] 埃米尔·库斯图里卡","https://book.douban.com/subject/27187198/"
"Violet Bent Backwards Over the Grass","","2024/02/24","翻完了，感觉有些词句或许更适合唱出来","2020/9/29","Lana Del Rey","https://book.douban.com/subject/35141493/"
"怎样做文献综述","3","2024/02/24","有用但不多。","2020/6/1","[美] 劳伦斯·马奇 (Lawrence A. Marchi)","https://book.douban.com/subject/35114680/"
"芝加哥大学论文写作指南 (第8版)","4","2024/02/22","草草翻完，特别详细的论文格式指南。如果之后需要写英文论文可以再查看。","2015/9/1","[美] 凯特·L.杜拉宾","https://book.douban.com/subject/26629064/"
"离开学术界","4","2024/02/22","很真诚和实用的好书。很多情况下其实离开学术界都是基于统计数据做出的正确选择，但可能很多人都需要先转变观念（战胜放弃仿佛是“天职”的学术工作的羞耻感，和正确认识不同工作的意义与价值），然后付出大量的时间精力来实践。对于是否要这么做、如何做，作者给出了详细而不冗余的行动细则。对我来说很有帮助！","2023/9","[美]克里斯托弗·卡特林","https://book.douban.com/subject/36472064/"
"深度学习","2","2024/02/20","很烂","2019/4/1","柳若边","https://book.douban.com/subject/30771282/"
"神探狗狗1","","2024/02/19","好可爱的书","2019/7","[美] 戴夫·皮尔奇","https://book.douban.com/subject/34450525/"
"神探狗狗2","","2024/02/19","","2019/7","[美] 戴夫·皮尔奇","https://book.douban.com/subject/34450534/"
"Python Tricks","4","2024/02/07","通俗易懂","2017/10/25","Dan Bader","https://book.douban.com/subject/27193155/"
"逃离","5","2024/02/06","","2016/10","[加] 艾丽丝·门罗","https://book.douban.com/subject/26863797/"
"梦的花嫁","2","2024/01/21","补标，逛西南村廉价书店又看见这本，想起高中时借同学买的书阅读过，只记得很烂。","2018/3","[日] 岩井俊二","https://book.douban.com/subject/27666853/"
"失乐园","","2024/01/21","","2014/6","[日]渡边淳一","https://book.douban.com/subject/25891771/"
"夜行记","5","2024/01/21","高中买于路人书店","2018/2/1","王小波","https://book.douban.com/subject/27116279/"
"不能承受的生命之轻（新）","5","2024/01/21","补标，高中时反复读过。","2017/1/1","[捷克] 米兰·昆德拉","https://book.douban.com/subject/26877993/"
"寂静的春天","","2023/11/16","","2007","[美] 蕾切尔·卡森","https://book.douban.com/subject/2350407/"
"Python编程","5","2023/11/08","引人入胜、阐释清晰，比某死记硬背忽略应用的教材真的好太多。 后面的项目很不错，第三版有更新。","2020/10","[美]埃里克·马瑟斯（Eric Matthes）","https://book.douban.com/subject/35196328/"
"Python Crash Course, 3rd Edition","5","2023/11/08","","2023/1","Eric Matthes","https://book.douban.com/subject/36235056/"
"普通话水平测试实施纲要","3","2023/10/26","大略扫了几眼，朗读部分有些标音并不符合日常口语的变调习惯。","2004/1","国家语言文字工作委员会普通话培训测试中心","https://book.douban.com/subject/1058771/"
"上海胶囊","","2023/10/22","","2022/1","btr","https://book.douban.com/subject/35685644/"
"丰富的痛苦","","2023/10/22","","2015/5/1","钱理群","https://book.douban.com/subject/26184691/"
"卡波蒂短篇小说全集","5","2023/10/22","补标，2021年底读完","2012/11","(美)杜鲁门·卡波蒂","https://book.douban.com/subject/15047243/"
"好笑的爱","4","2023/10/15","","2022/9","米兰·昆德拉","https://book.douban.com/subject/35914069/"
"Python高级数据分析","2","2023/10/13","","2019/1/1","[印] 萨扬·穆霍帕迪亚（Sayan Mukhopadhyay）","https://book.douban.com/subject/30772568/"
"罪孽的报应","2","2023/10/02","好题目，但写得很差。","2018/1","[荷] 伊恩·布鲁玛","https://book.douban.com/subject/27662698/"
"玩笑","5","2023/09/30","“错根本不在这些东西上。但错实在太大了，它的阴影已经把一个由无辜的事物（和词汇）所构成的整个世界范畴统统笼罩在里面还远嫌不足，还把它们全都蹂躏了。露茜和我，都生活在一个被蹂躏的世界里，我们不懂得同情这个世界，却是疏远这个世界，既加剧这个世界的不幸也加剧我们的痛苦。
露茜，你被爱得那么强烈，可又被爱得那么拙劣，在这么多年以后你来到我面前要告诉我的就是这句话吧？你是来替一个被蹂躏的世界说情的吧？”","2022/4/30","米兰·昆德拉","https://book.douban.com/subject/35764762/"
"现代中国文学1898—1949","","2023/09/26","","2015/11","乔以钢","https://book.douban.com/subject/30617725/"
"永别了，武器","4","2023/09/14","","2011/5/1","[美]海明威","https://book.douban.com/subject/6313497/"
"鬼吹灯1：精绝古城","3","2023/09/14","小学的时候看的，记得是每天拿着我爸那个只能玩五子棋的需要笔来触屏的手机点点点读完的，其实挺不错！","2016/1/1","天下霸唱","https://book.douban.com/subject/26676577/"
"数字人文","3","2023/09/12","","2018/1","［美］安妮·伯迪克","https://book.douban.com/subject/28012215/"
"Tone","","2023/09/04","粗略翻完。","2002/09/30","Moira Yip","https://book.douban.com/subject/4066205/"
"书淫艳异录（全二册）","3","2023/09/04","录事淫异，笔法干净。虽有不少时代局限，仍然是好书。最有趣部分仍是古人笑话哈哈哈","2013/1","叶灵凤","https://book.douban.com/subject/20458907/"
"临界·爵迹 Ⅱ","","2023/07/15","垃圾书","2011/1","郭敬明","https://book.douban.com/subject/4920036/"
"临界·爵迹 I","","2023/07/15","上初中的时候闲得没事同桌借我看的。","2010/8","郭敬明","https://book.douban.com/subject/4920037/"
"To Kill a Mockingbird","","2023/07/11","此书纸质版已经成为我的丢而复得但早已补办后被冻结的学子卡保存处。","1988/10/11","Harper Lee","https://book.douban.com/subject/1408193/"
"Python语言数据分析","3","2023/06/23","感觉没什么意思，nltk使用说明书（不如直接去看nltk官网）。","","管新潮","https://book.douban.com/subject/35494712/"
"客家研究导论","","2023/06/16","","1992.1","罗香林","https://book.douban.com/subject/3271055/"
"The Handbook of Phonetic Sciences","5","2023/06/16","粗略翻完，覆盖面比较广，引用文献相当详细，适合抓住一些有趣的点顺藤摸瓜。最后语音技术部分需要重看。","2010/3/8","Hardcastle, William J.; Laver, John; Gibbon, Fiona E.","https://book.douban.com/subject/5915913/"
"Cambridge IELTS 5 Self Study Pack","","2023/06/15","","2006/06/15","Cambridge ESOL","https://book.douban.com/subject/1827595/"
"数据科学导论","3","2023/06/14","太简略了。","2016/8/10","阿尔贝托·博斯凯蒂","https://book.douban.com/subject/26901472/"
"数据科学导论","3","2023/06/14","好读，但是仅此而已。","2014/3/1","杨旭","https://book.douban.com/subject/25879777/"
"小城畸人","4","2023/06/04","平淡温情的街巷故事。真理把人变成畸人，但如果听他们讲述自己的故事，畸人都只是人。","2019/8/12","[美] 舍伍德·安德森","https://book.douban.com/subject/34663078/"
"艰难的归程","4","2023/05/15","小时候读的，不知道为什么很喜欢边读这本边吃零食","2008/8","牧铃","https://book.douban.com/subject/3192130/"
"天蓝色的彼岸","","2023/05/11","小学看的","2003/12","艾利克斯・希尔","https://book.douban.com/subject/1041128/"
"棋王","","2023/05/05","","2019/4","阿城","https://book.douban.com/subject/30330181/"
"寂寞芳心小姐","4","2023/04/27","人人都是自己的寂寞芳心小姐。","2019/1","[美] 纳撒尼尔·韦斯特（Nathaniel West）","https://book.douban.com/subject/30390006/"
"万水千山走遍","3","2023/04/26","初中读过，一般","2011/7/1","三毛","https://book.douban.com/subject/6558709/"
"逻辑学是什么","2","2023/03/22","太浅","2015/9/10","陈波","https://book.douban.com/subject/26421241/"
"弗兰基的蓝色琴弦","4","2023/03/13","高中自习看这本还被教导主任抓了…","2017/11","[美] 米奇·阿尔博姆","https://book.douban.com/subject/27147211/"
"自然语言处理综论（第二版）","2","2023/02/21","翻译非常之差，错译随处可见。而且中文版有符号脱漏。建议直接读英文原版或者对读。","2018/3/1","Daniel Jurafsky(D. 朱夫斯凯)","https://book.douban.com/subject/30195974/"
"沙之书","5","2023/02/21","","2015/7","[阿根廷] 豪·路·博尔赫斯","https://book.douban.com/subject/25796049/"
"笨蛋联盟","4","2023/02/16","荒诞讽刺，阅读体验极佳，感觉我的幽门状况日趋良好。","2011/5/1","(美)约翰·肯尼迪·图尔","https://book.douban.com/subject/6021095/"
"姜夔与合肥及交游考","3","2023/01/28","一般 @2022-06-30 20:57:45","2009/4","吴莺莺","https://book.douban.com/subject/26375258/"
"春雪","4","2023/01/28","面对禁忌的美丽的一场纯洁的冒渎、声势浩大的企图与徒劳的结束。明明可以轻易拥有美好，却一定要不顾一切地奔赴短暂的极致绚烂与晦暗的自毁，真是典型的三岛风格和日式美学。
“如果说这样的生存方式终于把他引入欢喜的黑暗的旋涡，那么最后只得葬身于深渊之中了。”
深渊之中，想必有深海般的喜悦。 @2022-07-15 19:23:02","2020/12","[日] 三岛由纪夫","https://book.douban.com/subject/35290865/"
"雅思词汇真经","3","2023/01/28","感觉一般😢 @2022-09-17 11:04:41","2018/11/1","刘洪波","https://book.douban.com/subject/30442272/"
"金阁寺","","2023/01/25","","2009/1","[日] 三岛由纪夫","https://book.douban.com/subject/3391248/"
"蒂凡尼的早餐","4","2023/01/16","补标，高中所读（是zqc送我的生日礼物）。夏日十字路口也挺喜欢的，这两篇卡波特个人风格都很明显。","2015/5","[美] 杜鲁门·卡波特","https://book.douban.com/subject/26298561/"
"万有汉字","2","2023/01/10","图文并茂，竖版繁体，排版漂亮，然而错漏百出。","2018/9","何大齐 著","https://book.douban.com/subject/30329948/"
"西线无战事","5","2023/01/09","","2021/1","[德] 埃里希·玛丽亚·雷马克","https://book.douban.com/subject/35272817/"
"叙述学与小说文体学研究","5","2023/01/05","","2019/5","申丹","https://book.douban.com/subject/34261895/"
"唐诗三论","4","2023/01/05","","2013/10","高友工","https://book.douban.com/subject/25750202/"
"洗牌年代","3","2022/12/31","素材集，宜配合《繁花》阅读。这种风格不知道该说是繁复之美还是堆砌——记得有篇写“上海小男人”，格局大概如此。 @2022-11-13 01:21:34","2021/6","金宇澄","https://book.douban.com/subject/35458441/"
"看画小记","3","2022/12/31","最明显的感觉是叹号过多，修辞夸张。装帧挺精美，但是排版并不好，而且内容很散漫，完全不够充实和专业，翻一翻看看画得了。 @2022-11-12 18:52:45","2021/9","陆绍阳","https://book.douban.com/subject/35543468/"
"大师和玛格丽特","5","2022/12/31","@2022-10-10 23:29:19","2019/9","[俄] 布尔加科夫","https://book.douban.com/subject/34455885/"
"吴语声调的实验研究","4","2022/12/31","@2022-10-10 03:38:35","2001年1月1日","游汝杰","https://book.douban.com/subject/1547615/"
"仙症","4","2022/12/31","亲切而生猛 @2022-09-24 15:59:12","2020/10","郑执","https://book.douban.com/subject/35216559/"
"鲜血梅花","3","2022/12/31","实验写作 @2022-09-12 13:29:25","2017/12","余华","https://book.douban.com/subject/20426710/"
"平原上的摩西","4","2022/12/31","正如结尾那篇效仿王小波的《我的师承》所言，处处皆是其他作家的影子。当然有些地方还蛮有味道的，那个时代的东北本身就有克制而汹涌的力量。 @2022-09-05 23:54:45","2021/4","双雪涛","https://book.douban.com/subject/35192665/"
"韩非子译注","2","2022/12/31","韩非看起来是要冷峻讲理，其实逻辑处处漏洞。然后就是这翻译一股百度味儿。 @2022-08-27 11:03:16","2012/8/1","张觉","https://book.douban.com/subject/11520723/"
"没有人给他写信的上校","5","2022/12/31","@2022-07-27 11:20:19","2013/5","[哥伦比亚] 加西亚·马尔克斯","https://book.douban.com/subject/20392523/"
"欲望的旗帜","2","2022/12/31","通篇只有一个人在说话，只不过换了人名而已。人物塑造近乎于无。对于权力与欲望的暗示由于明显而给人肤浅之感。
此外，太多地方都在拙劣地模仿昆德拉和卖弄一些哲学名词，又笔力不足，读来每每觉得促襟见肘。只能说是一次形式大于内容的“先锋”（并不）书写而已，但是中长的篇幅让人觉得无聊而冗余……
借悬疑之名吸引读者，最后草草收尾。整篇小说烂得像有意为之。 @2022-07-13 10:36:39","2020/1","格非","https://book.douban.com/subject/34841771/"
"达摩流浪者","5","2022/12/31","之前好像忘记标注了 @2022-07-07 19:25:09","2021/5","[美] 杰克·凯鲁亚克","https://book.douban.com/subject/35369646/"
"姜白石詞編年箋校","5","2022/12/31","高山仰止 @2022-06-30 20:58:57","1981/5","姜夔","https://book.douban.com/subject/3004348/"
"姜白石词笺注","4","2022/12/31","野云孤飞 @2022-06-17 14:21:52","2013/1","[宋]姜夔 著","https://book.douban.com/subject/21722400/"
"姜夔资料汇编","4","2022/12/31","@2022-06-30 20:57:10","2011/11","贾文昭 编","https://book.douban.com/subject/6977758/"
"人间词话汇编汇校汇评(增订本)","4","2022/12/31","汇编资料翔实，各部分均有对应（特别是几位大家），整理这么多想必颇耗费功夫…总之很有利于作为论文参考。对王国维原文倒没什么滤镜，借了点西方理论的一家之言罢了。姜夔好惨。 @2022-06-17 14:18:55","2013/9","王国维","https://book.douban.com/subject/25735281/"
"《宋书》复音词研究","","2022/12/31","（中古汉语复音词研究） @2022-06-16 13:23:05","2006/9","万久富","https://book.douban.com/subject/1928329/"
"敦煌诗歌词汇研究","3","2022/12/31","","2013","洪帅","https://book.douban.com/subject/25856930/"
"社会语言学引论","5","2022/12/31","相当好的书！！文献翔实还有超多思考题，比国内一些教科书稍丰富点。 @2022-06-10 09:45:53","2009","Ronald Wardhaugh","https://book.douban.com/subject/3728600/"
"在细雨中呼喊","5","2022/12/31","通篇看来，印象最深的词是“蓬勃”。用疏离却渴望温情的、成长中生机勃发的小男孩之视角写最荒诞的真实，真实以外则是永恒般的时间/生命/历史之思。成熟的先锋长篇，一个时代的结束。 @2022-06-08 02:10:54","2012/11/1","余华","https://book.douban.com/subject/20421947/"
"音韻學教程（第五版）","","2022/12/31","唉……","2016/5/1","唐作藩","https://book.douban.com/subject/26838113/"
"九故事","5","2022/12/28","","2018/10","[美] J. D. 塞林格","https://book.douban.com/subject/26905155/"
"抬高房梁，木匠们；西摩：小传","","2022/12/28","","2018/10","[美] J. D. 塞林格","https://book.douban.com/subject/26905153/"
"米格尔街","4","2022/12/28","补标","2013/7","(英)V.S.奈保尔","https://book.douban.com/subject/21346008/"
"春雪","4","2022/12/28","","2010/8","[日] 三岛由纪夫","https://book.douban.com/subject/3987362/"
"忽然七日","3","2022/12/28","一本平庸的青春小说，但还是谢谢把这本书送给我的人。","2015/7","[美] 劳伦·奥利弗","https://book.douban.com/subject/5391766/"
"故事新编","5","2022/12/28","高中在宿舍午休时翻来覆去读过无数遍这本，最喜欢《铸剑》。","2015/1/1","鲁迅","https://book.douban.com/subject/26285194/"
"我是猫","4","2022/12/28","","2007/3","[日]夏目漱石","https://book.douban.com/subject/2046977/"
"摆渡人","3","2022/12/28","高中看的，就很一般…","2015/6/1","[英]克莱儿·麦克福尔","https://book.douban.com/subject/26356948/"
"摆渡人2重返荒原","2","2022/12/28","也是高中看的，极差。","2017/9","【英】克莱儿·麦克福尔","https://book.douban.com/subject/27134325/"
"知更鸟女孩","3","2022/12/28","当年有一阵光爱看白马时光的书…看完就后悔领悟：多数都是很庸俗无趣的垃圾青春文学🙊","2016/5","[美] 查克·温迪格","https://book.douban.com/subject/26707942/"
"杜可風春光乍洩攝影手記","4","2022/12/25","格式乱糟糟的电子版，总觉得杜可风应该擦一擦镜头。感想就是哥哥和伟仔随便一个模糊的侧脸都好帅，张震当年好纯……","1997年5月","杜可風(Christopher Doyle)","https://book.douban.com/subject/1358395/"
"小狗钱钱","4","2022/12/25","好像是小学的时候读的","2009/2/1","[德] 博多·舍费尔","https://book.douban.com/subject/3576486/"
"语音平面实验录","4","2022/12/25","","2012/12","石锋","https://book.douban.com/subject/22145755/"
"语言学的邀请","3","2022/12/19","补标，一般。 @2022-11-30 23:25:48","2015/7","[美] 塞缪尔·早川","https://book.douban.com/subject/26431646/"
"在路上","5","2022/12/19","一切都在土崩瓦解","2006/10","[美] 杰克·凯鲁亚克","https://book.douban.com/subject/1917972/"
"牯岭街少年杀人事件","3","2022/12/18","一般","2020/5/1","吴淡如","https://book.douban.com/subject/34826535/"
"暗算","","2022/12/13","小时候看的，感觉其实还行","2006/7","麦家","https://book.douban.com/subject/1858594/"
"温州话音档","","2022/12/12","","1998/12","潘悟云","https://book.douban.com/subject/4160769/"
"罪与罚","5","2022/12/11","一体两面的拉斯科尔尼科夫与斯维德里加依洛夫让人觉得饶有趣味；全程疯人般的呓语与复调叙事也很陀翁。阅读中最苦恼的就是人名又多又长，读到结尾真是各种意义上的感觉到救赎。","2015/1","[俄] 陀思妥耶夫斯基","https://book.douban.com/subject/25887912/"
"果戈理全集","","2022/06/02","ddl战士是我本人","2002/5","[俄]果戈理","https://book.douban.com/subject/1430652/"
"老子今研","5","2022/06/01","高山仰止","2021/3","裘锡圭","https://book.douban.com/subject/35219509/"
"拉奥孔","5","2022/06/01","忘记标注","1979/12","[德]莱辛","https://book.douban.com/subject/1075540/"
"中国现代文学三十年","5","2022/06/01","","1998/7","钱理群","https://book.douban.com/subject/1066627/"
"彼得·潘","5","2022/06/01","是我最爱的童话","2017/7","【英】詹姆斯·马修·巴利（James Matthew Barrie）","https://book.douban.com/subject/27046206/"
"青黄","4","2022/06/01","边看边意识到原来《青黄》一篇之前读过，读时于是又多了一重记忆的追寻。说是先锋，研究也多从叙事学符号学等等解构，我倒觉得《青黄》很有点寻根色彩，更多是个人与历史关系之隐喻。","2001/09","格非","https://book.douban.com/subject/1260076/"
"褐色鸟群","","2022/06/01","哈哈哈哈哈哈哈哈哈哈，短评第一说得好","1989.2","格非","https://book.douban.com/subject/1766120/"
"南京大屠杀","","2022/05/23","高一课余阅读，毛骨悚然，极心痛。","2013/1","[美] 张纯如","https://book.douban.com/subject/20440053/"
"普通化学原理","","2022/05/23","化竞记忆（记得那本书上好多签名）…","2013/6/1","华彤文","https://book.douban.com/subject/25765863/"
"文革大笑话","","2022/05/16","看的是《文革笑料集》。“你们笑什么？你们笑你们自己。”","1993/6/1","刘济昆","https://book.douban.com/subject/2040881/"
"时生","3","2022/05/15","补标，高中看的。实在一般。","2010/1","[日]东野圭吾","https://book.douban.com/subject/4152754/"
"现实一种","5","2022/05/14","残忍到极致时居然产生一种整体的“漂亮”。《一九八六》不仅是语言的残忍（华丽的残忍），还有叙事的残忍。前两篇稍微“干净”一点，让我联想起很多说不上名字的当代作家。架构上往往回环。除了残忍，疯或精神错乱也极有趣。","2012/9","余华","https://book.douban.com/subject/20406553/"
"废都","3","2022/05/10","老师讲课时刻勾起糟糕的阅读体验回忆，颓废的世纪末啊… @2022-06-08 11:15:45","2009/7/1","贾平凹","https://book.douban.com/subject/3886832/"
"十八岁出门远行","5","2022/05/10","","1989","余华","https://book.douban.com/subject/2237621/"
"棋王·树王·孩子王","4","2022/04/30","“据实描写荒诞，结果必然就是现实。”","2016/3/1","阿城","https://book.douban.com/subject/26734559/"
"马桥词典","4","2022/04/30","套在“词典”式叙事框架下的寻根文学，用方言词汇串联起碎而连贯的几代人故事。中学时还挺喜欢。若此框架是原创可打五星……","2011/12/1","韩少功","https://book.douban.com/subject/6423164/"
"古典文献及其利用（第五版）","5","2022/04/29","杨琳老师真的厉害👍（虽然上课我永远走神）","2021/10","杨琳","https://book.douban.com/subject/35632512/"
"拉奥孔","","2022/04/29","","2016/5","[德] 莱辛","https://book.douban.com/subject/26830768/"
"小径分岔的花园","5","2022/04/28","叙事实验与诸多哲思糅合，博尔赫斯牛逼。","2015/7","[阿根廷] 豪·路·博尔赫斯","https://book.douban.com/subject/25796120/"
"ABC谋杀案","","2022/04/28","小时候看过，细节已经记不清，就记得挺有意思。","2013/6","(英)阿加莎·克里斯蒂","https://book.douban.com/subject/24737009/"
"德语课","4","2022/04/24","高中读的，很不错一书。","2013/3","〔德〕西格弗里德·伦茨","https://book.douban.com/subject/21751338/"
"一个人的村庄","4","2022/04/24","","2006/1","刘亮程","https://book.douban.com/subject/1692648/"
"精神明亮的人","3","2022/04/24","高中时都嫌弃，不过有些字句用在作文里不错，毕竟阅卷老师审美有限。","2009/1","王开岭","https://book.douban.com/subject/3651646/"
"萤火虫小巷","3","2022/04/23","很美国","2015/11","[美]克莉丝汀·汉娜","https://book.douban.com/subject/26642866/"
"再见，萤火虫小巷","3","2022/04/23","唉……","2016/9/1","[美] 克莉丝汀·汉娜","https://book.douban.com/subject/26844525/"
"唐诗三百首（中英文对照）","4","2022/04/20","也好也不好","2007/1","许渊冲  译","https://book.douban.com/subject/2025683/"
"第七天","","2022/04/15","","2013/6","余华","https://book.douban.com/subject/24540864/"
"《堂吉诃德》讲稿","5","2022/04/15","上学期读了一大通各家论著，纳先生算比较有趣的一位。","2018/6/1","[美] 弗拉基米尔·纳博科夫","https://book.douban.com/subject/27112662/"
"洛丽塔","5","2022/04/15","很早前就看完了中英文版（英文版写得好精巧，就是读来很吃力），来补标。对我来说这种作品是没办法赏析的，评论家们可以把玩其中叙事学或隐喻，可我只能沉默，想起那朦胧的逝去的幻影。","2005/12","[美] 弗拉基米尔·纳博科夫","https://book.douban.com/subject/1465324/"
"怎样鉴别黄色歌曲","","2022/04/15","去年清理电脑内存的时候意外发现这本书的pdf，读时全程问号，但又很喜人。","1982/6","《人民音乐》编辑部","https://book.douban.com/subject/1963786/"
"时代广场的蟋蟀","5","2022/04/15","童年经典","2003/09","(美)乔治·塞尔登","https://book.douban.com/subject/1056707/"
"神奇校车-穿越飓风","5","2022/04/13","很小很小的时候看的，最早的“科学”启蒙","2011/1","乔安娜 柯尔（图）","https://book.douban.com/subject/10459904/"
"神奇校车-海底探险","","2022/04/13","","2011/1","乔安娜·柯尔","https://book.douban.com/subject/19954989/"
"神奇校车-漫游电世界","5","2022/04/13","","2011/1","乔安娜•柯尔 著","https://book.douban.com/subject/5906937/"
"神奇校车-迷失在太阳系","5","2022/04/13","","2011/1","乔安娜·柯尔","https://book.douban.com/subject/20374951/"
"神奇校车-探访感觉器官","5","2022/04/13","这本印象深刻","2011/1","[美国] 乔安娜·柯尔","https://book.douban.com/subject/10804980/"
"神奇校车-地球内部探险","5","2022/04/13","","2011/1","[美国] 乔安娜·柯尔","https://book.douban.com/subject/20387622/"
"神奇校车-奇妙的蜂巢","5","2022/04/13","","2011/1","乔安娜·柯尔","https://book.douban.com/subject/19995551/"
"神奇校车图画版1","","2022/04/13","","2011/1","乔安娜·柯尔","https://book.douban.com/subject/10804981/"
"旅行中的文学课","4","2022/04/13","支持一下卢老师。","2020/9","卢桢","https://book.douban.com/subject/35169233/"
