电影/电视剧/番组,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"禅：古古和煤球精 / Zen - Grogu and Dust Bunnies","","2022/12/30","@2022-11-21 02:46:04","2022/11/12","美国网络","https://movie.douban.com/subject/36154308/"
"去他*的世界 第一季 / The End of the F***ing World Season 1","4","2022/12/30","配乐很可，色调很可。但感觉最本质的东西是空的，这也是我对诸多以表达现代人mental crisis为中心的剧集/书籍无感的原因。 @2022-11-13 01:13:33","2017/10/24","英国","https://movie.douban.com/subject/27031389/"
"火车大劫案 / The Great Train Robbery","","2022/12/30","喜欢那一枪 @2022-10-20 00:07:39","","","https://movie.douban.com/subject/1299875/"
"水浇园丁 / L'arroseur arrosé","5","2022/12/30","@2022-10-19 16:46:41","1895/12/28","法国","https://movie.douban.com/subject/1867744/"
"月球旅行记 / Le voyage dans la lune","5","2022/12/30","在北京某展馆看过，当时还不知道这个邪典片子竟是最早科幻片… @2022-10-19 10:37:51","1902/09/01","法国","https://movie.douban.com/subject/1304310/"
"一场很（没）有必要的春晚","3","2022/12/30","笑得我满地乱爬 @2022-10-12 15:48:29","2022/01/28","中国大陆","https://movie.douban.com/subject/35765172/"
"公民凯恩 / Citizen Kane","4","2022/12/30","除了作为教科书之外，其中洋溢着太典型的美国精神。 @2022-10-05 20:54:32(1 有用)","1941/09/05","美国","https://movie.douban.com/subject/1292288/"
"借刀杀人 / Collateral","4","2022/12/30","@2022-10-05 10:21:44","2004/08/06","美国","https://movie.douban.com/subject/1308762/"
"搏击俱乐部 / Fight Club","5","2022/12/30","Loooove it. @2022-09-30 00:39:16","1999/09/10","威尼斯电影节","https://movie.douban.com/subject/1292000/"
"老爸老妈的浪漫史 第一季 / How I Met Your Mother Season 1","3","2022/12/30","感觉一般 @2022-09-22 12:47:42","2005/09/19","美国","https://movie.douban.com/subject/1427818/"
"掮客 / 브로커","2","2022/12/30","看完只想说好难看，IU有点像一个只负责提供美貌的工具人，奇怪的台词也令人尴尬症发作…是枝裕和继续试图用温情目光注视“边缘人”，但反而掩盖了本应更严肃讨论的社会议题，最后也必然要因逻辑无法自洽落到那口自我感动而疲软乏力的大鸡汤锅里。 @2022-08-16 18:19:43","2022/05/26","戛纳电影节","https://movie.douban.com/subject/35192111/"
"光阴的故事 / 光陰的故事","3","2022/12/30","很青涩，看完无感。 @2022-08-10 21:59:48","","","https://movie.douban.com/subject/1308146/"
"光年正传 / Lightyear","3","2022/12/30","To infinity, and beyond. ｜正常发挥，比不了玩具总动员系列但也并没有很差。 @2022-08-05 19:01:44","2022/06/15","意大利","https://movie.douban.com/subject/35284168/"
