游戏名称,个人评分,打分日期,我的短评,发行日期,条目链接
"记忆幻觉 Déjà Vu","4","2025/01/06","用Mini vMac玩的B&W版本，感觉比Amiga DOS的彩色版体验好很多，而且交互方式在今天看来特别有趣。","1985-03-09","https://www.douban.com/game/25761276/"
"模拟城市 SimCity","5","2025/01/06","最古早的Simcity——交通只有公路铁路码头机场，公共设施只有警察局消防局体育场，建筑区只有工业区商业区住宅区，但已经为整个系列和同类型游戏奠定了最基础的玩法，同时甚至可以设置游戏速度，还有随机灾难可以丰富居民生活。尽管在今天看来操作和画面都稍显古早，但实际操作仍然算得上方便，黑白像素画面（没错我玩的是Mac版）细看十分精致，尽管已经尊为爷爷辈老游戏但仍然是愉快的杀时间利器。","1991-04-26","https://www.douban.com/game/25845060/"
"纸飞机4.0 Glider 4.0","4","2025/01/06","颇具巧思的躲避障碍小游戏，童年的纸飞机又飞回我手里。开源好评！","1991-01-01","https://www.douban.com/game/34824289/"
"宝可梦TCG Pocket Pokémon Trading Card Game Pocket","","2025/01/05","每日愉快抽卡，梦幻ex+超梦ex真好用！","2024-10-30","https://www.douban.com/game/36853437/"
"狼人清洁工 The WereCleaner","","2025/01/03","","2024-05-08","https://www.douban.com/game/36904575/"
"精神检验师 Mind Scanners","2","2024/12/30","","2021-05-20","https://www.douban.com/game/35414646/"
"动物之森 口袋营地 どうぶつの森 ポッケトキャンプ","","2024/12/30","记得高中的时候假期无聊时很想玩动森但又没有switch，只好好奇地玩了半天手机版。","2017-11-22","https://www.douban.com/game/27180105/"
"漫长等待 :THE LONGING:","5","2024/12/29","一团苔藓。柔软得好像孤独的思想。","2020-03-05","https://www.douban.com/game/34907770/"
"冥界狂想曲 复刻版 Grim Fandango Remastered","5","2024/12/29","不管有怎样的（黑色电影/红色革命）外壳，Grim Fandango仍然是一个关于死亡的故事，而这也是它的魅力的根本来源之一，因为人们永远会对死亡和阐释死亡的一千零一种方式无限好奇。在《寻梦环游记》中，万寿菊是亡灵世界里唯一有生命的植物、引领亡者的花朵。而在Grim Fandango中，骷髅们躯体的死亡会伴随着花朵的产生，因此美丽的鲜花对他们来说却意味着痛苦的生命之毁灭、腐败和消亡，但其实也意味着新生。

Grim Fandango不是那种惯常的关于死亡与遗忘的故事，你的第二次死亡并不一定是所爱之人的遗忘，而是关于你与自己的和解：关于如何自我救赎、如何现实地面对死亡——你的躯体会切切实实地被分解，成为土壤成为空气成为花朵，或者成为别的我们尚且不知道的某种事物——但在此之前，你仍有机会做点什么。","2015-01-27","https://www.douban.com/game/26699076/"
"冥界狂想曲 Grim Fandango","5","2024/12/29","","1998-10-30","https://www.douban.com/game/20394340/"
"逆转检事2 逆転検事2","","2024/12/20","","2011-02-03","https://www.douban.com/game/11541337/"
"远方 loner","","2024/12/20","","2017-05-25","https://www.douban.com/game/35177462/"
"洪水 The Flood","","2024/12/20","","2018-03-30","https://www.douban.com/game/30243996/"
"致命公司 Lethal Company","4","2024/12/17","先是和朋友一起玩，之后甚至在游戏里认识了不少朋友，感觉很有意思！当朋友的声音越来越远的时候我自己一个人真的会紧张哈哈哈哈……遗憾是感觉更新更得有点不太喜欢，更喜欢大家各种卡乱七八糟bug的版本。","2023-10-24","https://www.douban.com/game/36658483/"
"GameBoy Advance Nintendo Classics ゲームボーイアドバンス Nintendo Classics","","2024/12/13","","2023-02-09","https://www.douban.com/game/36239033/"
"霰弹枪王：最后的将死 Shotgun King: The Final Checkmate","4","2024/12/12","相当不错的肉鸽国际象棋游戏","2022-05-12","https://www.douban.com/game/35875214/"
"菲斯 FEZ","5","2024/12/12","游玩Fez的中前期体验是美好、惊艳而绝望：尽管之前已经了解过这个游戏的大致机制，真正上手玩的时候还是被这款发售多年的游戏惊讶到了。在熟悉了最初的控制按键之后，绝大多数的前期解谜都是相当轻松丝滑的，有相当一段时间我都沉浸在设计的精巧和像素艺术之美里，很多未知谜题的设置也给玩家留足了想象的空间。绝望的心情则来源于想到自己如果做游戏，肯定一辈子也做不出来这种同时拥有天才创意和缜密设计的游戏。

但越玩到后面越感到有一个说大不大说小不小的问题：非线性关卡和有限的传送导致这个游戏从解谜游戏变成了跑图游戏，而再好的图也会跑腻，因此虽然通过后戴上墨镜打开3D视角很酷，但我反正是不想再从头到尾找一遍错失的细节了。如果是那种刚发售没有任何指南的游戏，我或许会有动力。","2012-04-13","https://www.douban.com/game/11610989/"
"雷帕布里亚时报 The Republia Times","4","2024/11/26","","","https://www.douban.com/game/25885671/"
"奇迹商人 Miracle Merchant","3","2024/11/25","","2017-08-01","https://www.douban.com/game/30414693/"
"OpenTTD","5","2024/11/17","","","https://www.douban.com/game/10754244/"
"奥森弗里 Oxenfree","4","2024/10/30","控制比较一般，感觉一直在绕来绕去强行拖延时间，玩罢疲惫到根本不想二周目。剧情、对话和选择还可以，主要是以收音机和无线电波构建的主题和解谜方式很有巧思，结尾也很有意思。","2016-01-16","https://www.douban.com/game/26711585/"
"Cuckoo Curling","4","2024/10/22","","2015-12-19","https://www.douban.com/game/35253337/"
"短途旅行 A Short Hike","5","2024/10/01","攀登、滑翔，到达顶峰。特别喜欢温馨明丽的游戏氛围，还有很多丰富可爱的小细节。","2019-07-30","https://www.douban.com/game/34449385/"
"饥荒 Don't Starve","4","2024/10/01","","2013-04-23","https://www.douban.com/game/24017230/"
"小小生活 Tiny Life","3","2024/09/30","像素+精简版模拟人生，但不知道为什么玩起来还挺上头的","2023-05-03","https://www.douban.com/game/36392487/"
"瘟疫传说：无罪 A Plague Tale: Innocence","3","2024/09/30","","2019-05-14","https://www.douban.com/game/27066087/"
"用心组装 Assemble with Care","3","2024/09/28","音乐很不错，甚至还有中文配音，但是情节很一般","2019-09-19","https://www.douban.com/game/34856699/"
"世界盒子 WorldBox","4","2024/09/26","上帝模拟器","2019-03-21","https://www.douban.com/game/35177192/"
"妈妈把我的游戏藏起来了 ママにゲーム隠された","4","2024/09/24","好像是高中放暑假时玩到的游戏，很癫很喜欢","2016-08-08","https://www.douban.com/game/26859646/"
"会说话的汤姆猫 Talking Tom Cat","","2024/09/24","不曾get到的童年经典","2010-06-26","https://www.douban.com/game/26691040/"
"水果忍者 Fruit Ninja","","2024/09/24","","2010-04-21","https://www.douban.com/game/10751877/"
"地铁跑酷 Subway Surfers","4","2024/09/24","在跑酷类游戏中属于我比较喜欢的，直到有一天在发小家玩，他妈妈看我玩这个玩了很久后发出灵魂质问：“所以就是这样一直重复地跑下去吗，意义是什么？（这有什么好玩的？）”我突然感觉好像也没法反驳…","2012-05-24","https://www.douban.com/game/11233034/"
"割绳子 Cut the Rope","","2024/09/24","","2010-10-05","https://www.douban.com/game/10734136/"
"愤怒的小鸟 Angry Birds","","2024/09/24","","2009-12-01","https://www.douban.com/game/10781566/"
"贪吃蛇大作战","4","2024/09/24","童年记忆","2016-06-08","https://www.douban.com/game/26872784/"
"模拟人生免费版 The Sims FreePlay","","2024/09/24","高中时还没有自己的电脑，不记得在哪里刷到不少关于模拟人生3和4的帖子，当时特别眼馋，所以用手机上的免费版代餐。","2012-01-26","https://www.douban.com/game/26367947/"
"狂野飙车8：极速凌云 Asphalt 8: Airborne","","2024/09/24","","2013-08-22","https://www.douban.com/game/26366653/"
"弓箭手大作战 Arrow.io","4","2024/09/24","初中时特别喜欢，到后来感觉运营得不太好。","2016-12-19","https://www.douban.com/game/26973927/"
"风子 Miss Wind","4","2024/09/24","中学时期玩过，画风很清新，玩起来有点难度但也挺有意思","2015-10-01","https://www.douban.com/game/26959779/"
"疯狂动物园 Rodeo Stampede - Sky Zoo Safari","3","2024/09/24","只记得广告好多…","2016-06-22","https://www.douban.com/game/26825022/"
"僵尸过马路 Steppy Pants","4","2024/09/24","是w在App Store发现的游戏，我也跟着玩结果意外发现很擅长，火速青出于蓝哈哈","2016-05-31","https://www.douban.com/game/26811448/"
"妈妈把我的游戏藏起来了2 ママにゲーム隠された2","","2024/09/24","","2017-01-05","https://www.douban.com/game/26952300/"
"冰箱里的布丁被吃掉了 冷蔵庫のプリン食べられた","","2024/09/24","","2017-07-27","https://www.douban.com/game/27111597/"
"特工A - 伪装游戏 Agent A: A puzzle in disguise","3","2024/09/24","普通解谜","2019-08-29","https://www.douban.com/game/26663538/"
"逆转裁判123 成步堂精选集 逆転裁判123 成歩堂セレクション","5","2024/09/24","“多余的情感”已经经典永流传，成剑真好嗑！虽然是解谜推理游戏但同时也很接近于交互式小说，各种角色塑造都很鲜活（特别是…大婶…），而且很多剧情虽然很架空但还是佩服巧舟脑洞！缺点就是玩起来有点容易困而且我不太喜欢里面一些立绘，不过毕竟是日本游戏+老游戏所以也见怪不怪了。","2014-12-09","https://www.douban.com/game/25890885/"
"骰子地下城 Dicey Dungeons","4","2024/09/24","","2019-08-13","https://www.douban.com/game/30229497/"
"锈湖：旅馆 Rusty Lake Hotel","4","2024/09/24","经典锈湖解谜，喜欢！（居然漏标了）","2015-12-14","https://www.douban.com/game/36121796/"
"纸牌 Microsoft Solitaire","","2024/09/22","","1990-05-22","https://www.douban.com/game/26306879/"
"看火人 Firewatch","2","2024/09/21","捡起来两年前搁置的游戏重新玩，感觉每个游戏的被搁置都是有道理的。Firewatch其实是可以称得上是精心制作，美术和地图设计都还不错，但叙事实在是过于糟糕：不仅给逃避家庭的中年已婚男主和风趣女上司设计了莫名其妙的感情线（太意淫了玩起来感觉如同吃苍蝇），整体“解谜”流程也是虎头蛇尾，我敢确信每个玩家游玩到中途时脑补出来的剧情都比结局揭晓的有意思得多，而且甚至是单结局。虽然风景和地图设计挺用心，但这个伪开放世界里过多的空气墙实在让人极其难受，反复跑图纯粹是在硬刷游戏时长，再好看的景色也会看厌，要是中途能多埋点探索彩蛋会更好。玩罢想法：……就这？？不管了终于熬到结束了……","2016-02-10","https://www.douban.com/game/26308123/"
"胡闹厨房 Overcooked!","","2024/09/21","","2016-08-04","https://www.douban.com/game/26855597/"
"那夜，血河浸泡 that night, steeped by blood river","3","2024/09/20","itch上刷到的游戏，有点Broken Reality的感觉但叙事更意识流。流程虽然不长但也算完整。","2020-11-13","https://www.douban.com/game/36890197/"
"山河旅探 Murders on the Yangtze River","3","2024/09/19","由于毫无期待，随手下载试玩的，因此比我想象的稍好一点。期待日后可以见到更多有独立创意的国产游戏。","2024-01-31","https://www.douban.com/game/35883769/"
"扮演卡夫卡 Playing Kafka","4","2024/09/17","忘记标了，不错的游戏，高度基于原著但又不失有趣。说起来感觉好像已经出现n款与卡夫卡相关游戏，究竟为什么是卡夫卡？","2024-05-21","https://www.douban.com/game/36853400/"
"代号47：出击 Hitman Go","","2024/09/14","","2014-02-09","https://www.douban.com/game/26410549/"
"这就是警察 2 This Is the Police 2","3","2024/09/14","","2018-07-31","https://www.douban.com/game/30155153/"
"致命框架 FRAMED","4","2024/09/14","","2014-11-13","https://www.douban.com/game/26361435/"
