游戏名称,个人评分,打分日期,我的短评,发行日期,条目链接
"白门 The White Door","5","2022/04/01","找回色彩。","2020-01-09","https://www.douban.com/game/34809695/"
"轮回的房间 Samsara Room","5","2022/04/01","","2020-04-29","https://www.douban.com/game/26784948/"
"方块逃脱：悖论 Cube Escape: Paradox","5","2022/04/01","锈湖系列最喜欢的之一","2018-09-20","https://www.douban.com/game/30287634/"
"这就是警察 This Is the Police","5","2022/04/01","电影化叙事，很喜欢这类美术风格。所有荣光、所有苦心经营、所有为难与周旋终将归为——","2016-08-02","https://www.douban.com/game/26850035/"
"王权：女王陛下 Reigns: Her Majesty","5","2022/04/01","很久之前在手机上玩的，贼喜欢这种排列组合荒诞剧情，玩法也相当新颖。","2017-12-07","https://www.douban.com/game/27605233/"
"我的朋友佩德罗 My Friend Pedro","4","2022/04/01","射击爽游","2019-06-21","https://www.douban.com/game/26948561/"
"奇异人生2 Life is Strange 2","4","2022/04/01","一些兄弟故事…（但我还是更喜欢Chloe还我Chloe呜呜呜）","2018-09-27","https://www.douban.com/game/27069936/"
"六角疑云 The Hex","4","2022/03/28","","2018-10-16","https://www.douban.com/game/28516755/"
"传送门 Portal","5","2022/03/28","","2007-10-09","https://www.douban.com/game/10747851/"
"奥威尔：无所遁形 Orwell: Keeping an Eye On You","4","2022/03/28","","2016-10-20","https://www.douban.com/game/26853069/"
"如果在冬夜，四个旅人 If On A Winter's Night, Four Travelers","5","2022/03/28","","2021-09-21","https://www.douban.com/game/35445026/"
"攀云者 Cloud Climber","4","2022/03/28","","2021-01-14","https://www.douban.com/game/35337626/"
"九十六号公路 Road 96","4","2022/03/28","","2021-08-16","https://www.douban.com/game/35284509/"
"这是我的战争 This War of Mine","3","2022/03/19","#个人化测评#  this war of mine

我觉得技巧性要求比较高，处处都要精打细算，让我联想到阿瑞斯病毒之类的游戏，这种“算计”削弱了本身战争背景应该具有的庞大的悲伤感。

其他都还不错，我对这种题材可能已经有点麻木了…画风和房屋剖面这种形式都见怪不怪，有点像beholder——但还是beholder那种剧情与游戏形式更能打动我一点。

此外就是游戏过程中感到一种无力感，个体在夹缝中生存啊等等等等。但是游戏对个人的刻画真的有点太少了，每个人都只有短短一行的简介和偶尔冒出的思维气泡，还不如模拟人生的喜怒哀乐来得鲜明——你又要凸现个体之渺小又拒绝描绘个人，这多没意思。","2014-11-14","https://www.douban.com/game/26269051/"
"饥荒联机版 Don't Starve Together","4","2022/03/18","","2016-04-21","https://www.douban.com/game/26419552/"
"旁观者2 Beholder 2","3","2022/03/18","","2018-12-04","https://www.douban.com/game/30389293/"
"奇异人生 Life is Strange","5","2022/03/18","","2015-01-30","https://www.douban.com/game/26317250/"
"超能队长的奇异冒险 The Awesome Adventures of Captain Spirit","4","2022/03/18","","2018-06-26","https://www.douban.com/game/30247034/"
"奇异人生：暴风前夕 Life is Strange: Before The Storm","5","2022/03/18","","2017-08-31","https://www.douban.com/game/27067717/"
"传送门2 Portal 2","5","2022/03/18","","2011-04-19","https://www.douban.com/game/10734307/"
"深入 Inside","5","2022/03/18","","2016-06-29","https://www.douban.com/game/26430524/"
"小马岛 Pony Island","5","2022/03/18","","2016-01-05","https://www.douban.com/game/26708094/"
"人类：一败涂地 Human: Fall Flat","3","2022/03/18","","2016-07-23","https://www.douban.com/game/26864634/"
"胡闹厨房2 Overcooked! 2","5","2022/03/18","已经成为对我有特殊意义的一款游戏","2018-08-07","https://www.douban.com/game/30246758/"
"模拟人生4 The Sims 4","4","2022/03/18","","2014-09-02","https://www.douban.com/game/25985755/"
"双人成行 It Takes Two","5","2022/02/15","","2021-03-26","https://www.douban.com/game/35110438/"
"糖豆人: 终极淘汰赛 Fall Guys: Ultimate Knockout","4","2022/02/15","","2020-08-04","https://www.douban.com/game/35055474/"
"邪恶冥刻 Inscryption","5","2022/01/09","目前玩过最好的游戏之一。@2022-12-31全成就通关留念！","2021-10-19","https://www.douban.com/game/35012407/"
"巡警 Beat Cop","4","2021/12/15","","2017-03-30","https://www.douban.com/game/27011272/"
"请出示证件 Papers, Please","5","2021/12/15","","2013-08-09","https://www.douban.com/game/25704197/"
"不要喂食猴子 Do Not Feed the Monkeys","5","2021/12/15","","2018-10-23","https://www.douban.com/game/27159318/"
"污泥人生 SLUDGE LIFE","4","2021/12/14","","2020-05-28","https://www.douban.com/game/35012420/"
"我的世界 Minecraft","5","2021/12/06","最近开始重新玩。去年年末选了电子游戏与哲学课，彼时高强度地玩了很多天，然后基于这款游戏“机械创造”/沉浸式/开放世界的特质（效仿本雅明）写了篇结课论文，至今觉得那篇是上大学以来写作最顺畅的，尽管写得不好。@2022-06-16 18:24:59","2011-11-18","https://www.douban.com/game/10734157/"
